0.0894450471,0.0000000000,0.0445345715
0.0894450471,0.0000000000,0.0511425473
0.1394994557,0.0154515775,0.0638243183
0.1758433133,0.0302502718,0.0784053802
0.2054407001,0.0467899889,0.0943317860
0.2087051123,0.0467899889,0.1085171625
0.2087051123,0.0467899889,0.1179740801
0.2087051123,0.0467899889,0.1259669662
0.2087051123,0.0467899889,0.1348897070
0.2087051123,0.0467899889,0.1480265111
0.2087051123,0.0467899889,0.1607676297
0.2087051123,0.0726877004,0.1751508564
0.2585418820,0.1394994557,0.1920466870
0.2585418820,0.1603917331,0.2026708871
0.2585418820,0.1603917331,0.2083885670
0.2585418820,0.1603917331,0.2112572938
0.2585418820,0.1603917331,0.2129389644
0.2585418820,0.1603917331,0.2152339518
0.2585418820,0.1603917331,0.2181818187
0.2585418820,0.1902067512,0.2221782506
0.2585418820,0.1902067512,0.2230487615
0.2585418820,0.2043525577,0.2246315181
0.2585418820,0.1704026163,0.2214858085
0.2563656271,0.1682263315,0.2132752985
0.2387377620,0.1675734520,0.2052032799
0.2369967401,0.1643090248,0.1984370351
0.2272034883,0.1449401528,0.1900682598
0.2167573422,0.1416757405,0.1822930127
0.2097932547,0.1416757405,0.1757245958
0.2095756233,0.1325353682,0.1687011570
0.2095756233,0.1301414520,0.1619547009
0.2076169699,0.1279651821,0.1545355618
0.1704026163,0.1072905362,0.1454149783
0.1682263315,0.0861806348,0.1377584338
0.1675734520,0.0861806348,0.1308141202
0.1643090248,0.0861806348,0.1245820522
0.1449401528,0.0861806348,0.1217924654
0.1445048898,0.0861806348,0.1214165613
0.1445048898,0.0861806348,0.1207043231
0.1408052295,0.0861806348,0.1199327335
0.1560391784,0.0861806348,0.1220694408
0.1560391784,0.0861806348,0.1241072342
0.1560391784,0.0861806348,0.1261252314
0.1560391784,0.0861806348,0.1285191476
0.1560391784,0.0918389559,0.1325353682
0.1560391784,0.0990206748,0.1364328861
0.1560391784,0.1303590834,0.1404688954
0.1560391784,0.1303590834,0.1418735832
0.1560391784,0.1303590834,0.1421307772
0.1560391784,0.1303590834,0.1423484087
0.1560391784,0.1303590834,0.1439905018
0.1603917331,0.1303590834,0.1443861872
0.1603917331,0.1303590834,0.1449599415
0.1603917331,0.1303590834,0.1434761137
0.1603917331,0.1303590834,0.1440102905
0.1603917331,0.1338411272,0.1444851160
0.1603917331,0.1236126199,0.1434761137
0.1603917331,0.1236126199,0.1422692686
0.1603917331,0.1236126199,0.1415570229
0.1603917331,0.1236126199,0.1421307772
0.1603917331,0.1236126199,0.1419922858
0.1603917331,0.1236126199,0.1411019862
0.1723612696,0.1236126199,0.1421901286
0.2004352510,0.1236126199,0.1459689438
0.2067464590,0.1236126199,0.1525966972
0.2180631161,0.1236126199,0.1597388536
0.2496191561,0.1236126199,0.1701058447
0.2833514810,0.1301414520,0.1846275628
0.3025027215,0.1347116381,0.2002967596
0.3144722581,0.1347116381,0.2160451114
0.4080522358,0.1347116381,0.2395093441
0.4835690856,0.1442872733,0.2712236643
0.5231773853,0.1723612696,0.3056682050
0.6328617930,0.2004352510,0.3475319147
1.0000000000,0.2067464590,0.4202196002
1.0000000000,0.2180631161,0.4914234877
1.0000000000,0.2496191561,0.5470175147
1.0000000000,0.2833514810,0.5936294198
1.0000000000,0.3025027215,0.6294589043
1.0000000000,0.3144722581,0.6717776060
1.0000000000,0.4080522358,0.7208823562
1.0000000000,0.4835690856,0.7602730393
1.0000000000,0.5231773853,0.7951528430
1.0000000000,0.6328617930,0.8226530552
